CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3500105,Adamantina,34687,"411,987","84,19"
3500204,Adolfo,4351,"211,055","20,62"
3500303,Aguaí,32072,"474,554","67,58"
3500402,Águas da Prata,7369,"142,673","51,65"
3500501,Águas de Lindóia,17930,"60,126","298,21"
3500550,Águas de Santa Bárbara,7177,"404,463","17,74"
3500600,Águas de São Pedro,2780,"3,612","769,66"
3500709,Agudos,37680,"966,708","38,98"
3500758,Alambari,6141,"159,6","38,48"
3500808,Alfredo Marcondes,4445,"118,915","37,38"
3500907,Altair,3451,"313,007","11,03"
3501004,Altinópolis,16818,"928,956","18,1"
3501103,Alto Alegre,3841,"318,574","12,06"
3501152,Alumínio,17301,"83,619","206,9"
3501202,Álvares Florence,3915,"362,411","10,8"
3501301,Álvares Machado,27255,"347,647","78,4"
3501400,Álvaro de Carvalho,4808,"153,662","31,29"
3501509,Alvinlândia,2885,"84,879","33,99"
3501608,Americana,237240,"133,912","1771,61"
3501707,Américo Brasiliense,33019,"122,958","268,54"
3501806,Américo de Campos,5870,"252,876","23,21"
3501905,Amparo,68008,"445,323","152,72"
3502002,Analândia,4589,"325,953","14,08"
3502101,Andradina,59783,"964,226",62
3502200,Angatuba,24022,"1027,288","23,38"
3502309,Anhembi,5674,"736,557","7,7"
3502408,Anhumas,4023,"320,84","12,54"
3502507,Aparecida,32569,"120,89","269,41"
3502606,Aparecida d'Oeste,4086,"179,004","22,83"
3502705,Apiaí,24585,"974,322","25,23"
3502754,Araçariguama,21522,"145,204","148,22"
3502804,Araçatuba,200124,"1167,126","171,47"
3502903,Araçoiaba da Serra,32443,"255,305","127,08"
3503000,Aramina,5420,"202,829","26,72"
3503109,Arandu,6885,"285,908","24,08"
3503158,Arapeí,2330,"156,903","14,85"
3503208,Araraquara,242228,"1003,625","241,35"
3503307,Araras,130866,"644,831","202,95"
3503356,Arco-Íris,2044,"264,904","7,72"
3503406,Arealva,8130,"506,226","16,06"
3503505,Areias,3577,"305,227","11,72"
3503604,Areiópolis,10130,"85,907","117,92"
3503703,Ariranha,7602,"132,624","57,32"
3503802,Artur Nogueira,51456,"178,026","289,04"
3503901,Arujá,86678,"96,167","901,33"
3503950,Aspásia,1842,"69,373","26,55"
3504008,Assis,101409,"460,609","220,16"
3504107,Atibaia,158647,"478,521","331,54"
3504206,Auriflama,13692,"434,498","31,51"
3504305,Avaí,4483,"540,689","8,29"
3504404,Avanhandava,11263,"338,37","33,29"
3504503,Avaré,92805,"1213,055","76,51"
3504602,Bady Bassitt,27260,"110,372","246,98"
3504701,Balbinos,3887,"91,635","42,42"
3504800,Bálsamo,9596,"149,881","64,02"
3504909,Bananal,9969,"616,429","16,17"
3505005,Barão de Antonina,3531,"153,142","23,06"
3505104,Barbosa,5640,"205,212","27,48"
3505203,Bariri,31595,"444,405","71,1"
3505302,Barra Bonita,34346,"150,121","228,79"
3505351,Barra do Chapéu,5179,"405,681","12,77"
3505401,Barra do Turvo,6876,"1007,684","6,82"
3505500,Barretos,122485,"1566,161","78,21"
3505609,Barrinha,32092,"146,025","219,77"
3505708,Barueri,316473,"65,701","4816,87"
3505807,Bastos,21503,"170,912","125,81"
3505906,Batatais,58402,"849,526","68,75"
3506003,Bauru,379146,"667,684","567,85"
3506102,Bebedouro,76373,"683,192","111,79"
3506201,Bento de Abreu,2606,"301,687","8,64"
3506300,Bernardino de Campos,11607,"244,158","47,54"
3506359,Bertioga,64188,"491,546","130,58"
3506409,Bilac,7319,"158,025","46,32"
3506508,Birigui,118979,"530,031","224,48"
3506607,Biritiba Mirim,29683,"317,406","93,52"
3506706,Boa Esperança do Sul,12978,"690,748","18,79"
3506805,Bocaina,11259,"363,926","30,94"
3506904,Bofete,10460,"653,541","16,01"
3507001,Boituva,61081,"248,954","245,35"
3507100,Bom Jesus dos Perdões,22006,"108,366","203,07"
3507159,Bom Sucesso de Itararé,3555,"133,578","26,61"
3507209,Borá,907,"118,951","7,62"
3507308,Boracéia,4715,"122,11","38,61"
3507407,Borborema,14226,"552,256","25,76"
3507456,Borebi,2713,"347,989","7,8"
3507506,Botucatu,145155,"1482,642","97,9"
3507605,Bragança Paulista,176811,"512,584","344,94"
3507704,Braúna,5356,"195,176","27,44"
3507753,Brejo Alegre,2565,"105,689","24,27"
3507803,Brodowski,25201,"278,458","90,5"
3507902,Brotas,23898,"1101,373","21,7"
3508009,Buri,20250,"1196,463","16,92"
3508108,Buritama,17210,"326,921","52,64"
3508207,Buritizal,4356,"266,42","16,35"
3508306,Cabrália Paulista,4299,"239,974","17,91"
3508405,Cabreúva,47011,"260,234","180,65"
3508504,Caçapava,96202,"368,99","260,72"
3508603,Cachoeira Paulista,31564,"287,99","109,6"
3508702,Caconde,17101,"468,214","36,52"
3508801,Cafelândia,16654,"920,28","18,1"
3508900,Caiabu,3712,"253,352","14,65"
3509007,Caieiras,95032,"97,642","973,27"
3509106,Caiuá,5466,"551,159","9,92"
3509205,Cajamar,92689,"131,386","705,47"
3509254,Cajati,28515,"454,436","62,75"
3509304,Cajobi,9133,"176,929","51,62"
3509403,Cajuru,23830,"660,088","36,1"
3509452,Campina do Monte Alegre,5954,"184,479","32,27"
3509502,Campinas,1139047,"794,571","1433,54"
3509601,Campo Limpo Paulista,77632,"79,403","977,7"
3509700,Campos do Jordão,46974,"289,981","161,99"
3509809,Campos Novos Paulista,4888,"484,199","10,1"
3509908,Cananéia,12289,"1237,354","9,93"
3509957,Canas,4931,"53,261","92,58"
3510005,Cândido Mota,29449,"595,811","49,43"
3510104,Cândido Rodrigues,2889,"70,892","40,75"
3510153,Canitar,6283,"57,459","109,35"
3510203,Capão Bonito,46337,"1640,229","28,25"
3510302,Capela do Alto,22866,"169,89","134,59"
3510401,Capivari,50068,"322,878","155,07"
3510500,Caraguatatuba,134873,"484,947","278,12"
3510609,Carapicuíba,386984,"34,546","11201,99"
3510708,Cardoso,11345,"639,248","17,75"
3510807,Casa Branca,28083,"864,225","32,5"
3510906,Cássia dos Coqueiros,2799,"191,683","14,6"
3511003,Castilho,19977,"1065,318","18,75"
3511102,Catanduva,115791,"290,596","398,46"
3511201,Catiguá,7003,"148,393","47,19"
3511300,Cedral,12618,"197,838","63,78"
3511409,Cerqueira César,21469,"511,621","41,96"
3511508,Cerquilho,44695,"127,803","349,72"
3511607,Cesário Lange,19048,"190,392","100,05"
3511706,Charqueada,15535,"175,846","88,34"
3511904,Clementina,6982,"168,59","41,41"
3512001,Colina,18486,"422,303","43,77"
3512100,Colômbia,6629,"728,648","9,1"
3512209,Conchal,28101,"182,793","153,73"
3512308,Conchas,15232,"466,12","32,68"
3512407,Cordeirópolis,24514,"137,579","178,18"
3512506,Coroados,5400,"246,825","21,88"
3512605,Coronel Macedo,4280,"303,83","14,09"
3512704,Corumbataí,4195,"278,622","15,06"
3512803,Cosmópolis,59773,"154,665","386,47"
3512902,Cosmorama,8719,"441,68","19,74"
3513009,Cotia,274413,"323,994","846,97"
3513108,Cravinhos,33281,"311,423","106,87"
3513207,Cristais Paulista,9272,"385,23","24,07"
3513306,Cruzália,2108,"149,33","14,12"
3513405,Cruzeiro,74961,"305,699","245,21"
3513504,Cubatão,112476,"142,879","787,21"
3513603,Cunha,22110,"1407,25","15,71"
3513702,Descalvado,31756,"753,706","42,13"
3513801,Diadema,393237,"30,732","12795,69"
3513850,Dirce Reis,1620,"88,133","18,38"
3513900,Divinolândia,11158,"223,749","49,87"
3514007,Dobrada,8759,"149,729","58,5"
3514106,Dois Córregos,24510,"632,972","38,72"
3514205,Dolcinópolis,2207,"77,939","28,32"
3514304,Dourado,8096,"205,874","39,33"
3514403,Dracena,45474,"487,688","93,24"
3514502,Duartina,12328,"264,557","46,6"
3514601,Dumont,9471,"111,376","85,04"
3514700,Echaporã,6205,"515,258","12,04"
3514809,Eldorado,13069,"1654,256","7,9"
3514908,Elias Fausto,17699,"202,36","87,46"
3514924,Elisiário,3138,"93,98","33,39"
3514957,Embaúba,2323,"83,129","27,94"
3515004,Embu das Artes,250691,"70,398","3561,05"
3515103,Embu-Guaçu,66970,"155,641","430,29"
3515129,Emilianópolis,3014,"225,167","13,39"
3515152,Engenheiro Coelho,19566,"109,941","177,97"
3515186,Espírito Santo do Pinhal,39816,"389,235","102,29"
3515194,Espírito Santo do Turvo,4157,"193,666","21,46"
3515202,Estrela d'Oeste,9417,"296,281","31,78"
